,ID,City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
0,1,C3,3213,Rented,Individual,36,36,No,X1,14.0,3.0,22,11628.0,0
2,3,C5,3732,Owned,Individual,32,32,No,,1.0,1.0,19,7450.0,1
3,4,C24,4378,Owned,Joint,52,48,No,X1,14.0,3.0,19,17780.0,0
4,5,C8,2190,Rented,Individual,44,44,No,X2,3.0,1.0,16,10404.0,0
5,6,C9,1785,Rented,Individual,52,52,No,X2,5.0,1.0,22,15264.0,1
7,8,C1,3175,Owned,Joint,75,73,Yes,X4,9.0,4.0,17,29344.0,1
8,9,C15,3497,Owned,Joint,52,43,No,X1,14.0,3.0,1,27283.2,0
9,10,C1,530,Owned,Joint,59,26,Yes,,7.0,4.0,18,21100.8,1
10,11,C28,600,Owned,Individual,21,21,No,X2,,,21,4068.0,1
11,12,C27,1097,Owned,Joint,59,47,Yes,X3,3.0,3.0,13,25043.2,0
12,13,C7,3453,Owned,Individual,66,66,No,,1.0,2.0,20,17192.0,1
14,15,C20,1911,Rented,Individual,27,27,No,X3,2.0,3.0,9,9440.0,0
16,17,C3,1090,Owned,Individual,34,34,No,X1,11.0,1.0,20,6660.0,0
18,19,C1,1634,Owned,Individual,55,55,No,X2,1.0,3.0,21,12580.0,0
20,21,C9,3543,Owned,Individual,32,32,No,X2,3.0,3.0,16,12060.0,0
24,25,C4,2182,Rented,Individual,22,22,No,X1,1.0,3.0,22,6370.0,0
27,28,C9,855,Rented,Individual,21,21,No,X5,,,16,3744.0,1
29,30,C1,894,Owned,Individual,27,27,No,X3,7.0,1.0,19,12150.0,1
30,31,C2,2137,Owned,Joint,40,34,Yes,X5,3.0,4.0,17,22176.0,0
33,34,C20,2087,Rented,Joint,26,21,Yes,X1,2.0,3.0,22,10264.8,0
36,37,C2,1045,Rented,Joint,55,18,No,X6,5.0,3.0,11,21582.0,0
38,39,C10,1530,Rented,Individual,63,63,No,X1,1.0,1.0,18,20048.0,0
39,40,C3,927,Rented,Joint,49,47,Yes,X4,3.0,3.0,18,22568.0,1
42,43,C15,2843,Owned,Individual,56,56,No,X6,2.0,1.0,22,20310.0,0
43,44,C24,2748,Owned,Individual,67,67,No,X1,14.0,2.0,17,19936.0,1
45,46,C2,256,Owned,Individual,42,42,No,X1,10.0,3.0,20,16248.0,0
48,49,C2,2858,Owned,Joint,57,55,Yes,X4,8.0,4.0,17,28260.0,1
49,50,C1,85,Owned,Joint,73,68,Yes,X2,7.0,4.0,21,31692.8,0
53,54,C2,3683,Owned,Individual,75,75,No,X4,7.0,4.0,17,22746.0,0
54,55,C1,2499,Owned,Individual,32,32,No,X2,3.0,3.0,19,9128.0,0
55,56,C2,1016,Owned,Individual,48,48,No,,14.0,3.0,21,15180.0,1
56,57,C2,1876,Owned,Individual,65,65,No,X4,,,3,20520.0,1
60,61,C17,1842,Rented,Individual,27,27,No,X3,1.0,3.0,12,7032.0,0
62,63,C33,912,Rented,Individual,33,33,No,X2,2.0,1.0,2,5970.0,0
63,64,C1,2980,Owned,Joint,75,74,Yes,X1,5.0,3.0,8,32832.0,0
64,65,C25,2200,Rented,Individual,20,20,No,X1,,,21,6850.0,1
66,67,C26,1901,Rented,Individual,30,30,No,X2,8.0,3.0,18,9240.0,0
67,68,C2,1742,Owned,Individual,69,69,No,X4,,,3,16104.0,1
68,69,C2,4068,Owned,Individual,23,23,No,X1,,,3,11536.0,1
71,72,C3,2476,Rented,Individual,27,27,No,X1,,,21,11556.0,1
72,73,C3,1471,Rented,Individual,31,31,No,X1,5.0,1.0,16,10926.0,0
73,74,C2,2659,Owned,Individual,68,68,No,X2,1.0,4.0,11,15456.0,0
74,75,C2,168,Rented,Joint,37,35,Yes,X2,1.0,3.0,14,16740.0,0
76,77,C8,1883,Owned,Individual,34,34,No,X4,6.0,3.0,1,9792.0,0
77,78,C1,1321,Owned,Individual,31,31,No,X1,,,19,10032.0,1
78,79,C2,4829,Owned,Individual,29,29,No,X3,5.0,1.0,17,11448.0,0
